,isi_tweet,label,case_folding,remove_user,cleansing,tokenizing,normalization,remove_stop_word,stemming
0,RT @Marchfoward: Pakistan berduka hari ini apabila Abdul Qadeer Khan Bapa Nuklear Pakistan meninggal dunia pada usia 85 tahun akibat Covid…,neg,rt @marchfoward: pakistan berduka hari ini apabila abdul qadeer khan bapa nuklear pakistan meninggal dunia pada usia 85 tahun akibat covid…,rt : pakistan berduka hari ini apabila abdul qadeer khan bapa nuklear pakistan meninggal dunia pada usia 85 tahun akibat covid…,  pakistan berduka hari ini apabila abdul qadeer khan bapa nuklear pakistan meninggal dunia pada usia  tahun akibat covid,"['pakistan', 'berduka', 'hari', 'ini', 'apabila', 'abdul', 'qadeer', 'khan', 'bapa', 'nuklear', 'pakistan', 'meninggal', 'dunia', 'pada', 'usia', 'tahun', 'akibat', 'covid']","['pakistan', 'berduka', 'hari', 'ini', 'apabila', 'abdul', 'qadeer', 'kan', 'bapa', 'nuklear', 'pakistan', 'meninggal', 'dunia', 'pada', 'usia', 'tahun', 'akibat', 'covid']","['pakistan', 'berduka', 'abdul', 'qadeer', 'bapa', 'nuklear', 'pakistan', 'meninggal', 'dunia', 'usia', 'akibat', 'covid']","['pakistan', 'duka', 'abdul', 'qadeer', 'bapa', 'nuklear', 'pakistan', 'tinggal', 'dunia', 'usia', 'akibat', 'covid']"
1,"RT @redzuanNewsMPB: Kerajaan tidak mewajibkan orang ramai yang ingin rentas negeri bermula esok untuk buat ujian swab Covid-19, namun adala…",neg,"rt @redzuannewsmpb: kerajaan tidak mewajibkan orang ramai yang ingin rentas negeri bermula esok untuk buat ujian swab covid-19, namun adala…","rt : kerajaan tidak mewajibkan orang ramai yang ingin rentas negeri bermula esok untuk buat ujian swab covid-19, namun adala…",  kerajaan tidak mewajibkan orang ramai yang ingin rentas negeri bermula esok untuk buat ujian swab covid namun adala,"['kerajaan', 'tidak', 'mewajibkan', 'orang', 'ramai', 'yang', 'ingin', 'rentas', 'negeri', 'bermula', 'esok', 'untuk', 'buat', 'ujian', 'swab', 'covid', 'namun', 'adala']","['kerajaan', 'tidak', 'mewajibkan', 'orang', 'ramai', 'yang', 'ingin', 'rentas', 'negeri', 'bermula', 'esok', 'untuk', 'buat', 'ujian', 'swab', 'covid', 'namun', 'adalah']","['kerajaan', 'mewajibkan', 'orang', 'ramai', 'rentas', 'negeri', 'esok', 'ujian', 'swab', 'covid']","['raja', 'wajib', 'orang', 'ramai', 'rentas', 'negeri', 'esok', 'uji', 'swab', 'covid']"
2,"Pengumuman tersebut disampaikan oleh Menteri Perhubungan Inggris Grant Shapps pada Kamis, 7 Oktober 2021, pukul 17.… https://t.co/VildJgnrZ4",neutral,"pengumuman tersebut disampaikan oleh menteri perhubungan inggris grant shapps pada kamis, 7 oktober 2021, pukul 17.… https://t.co/vildjgnrz4","pengumuman tersebut disampaikan oleh menteri perhubungan inggris grant shapps pada kamis, 7 oktober 2021, pukul 17.… https://t.co/vildjgnrz4",pengumuman tersebut disampaikan oleh menteri perhubungan inggris grant shapps pada kamis  oktober  pukul ,"['pengumuman', 'tersebut', 'disampaikan', 'oleh', 'menteri', 'perhubungan', 'inggris', 'grant', 'shapps', 'pada', 'kamis', 'oktober', 'pukul']","['pengumuman', 'tersebut', 'disampaikan', 'oleh', 'menteri', 'perhubungan', 'inggris', 'grant', 'shapps', 'pada', 'kamis', 'oktober', 'pukul']","['pengumuman', 'menteri', 'perhubungan', 'inggris', 'grant', 'shapps', 'kamis', 'oktober']","['umum', 'menteri', 'hubung', 'inggris', 'grant', 'shapps', 'kamis', 'oktober']"
3,"@hsnwan @anthraxxx781 Aik? Memang la, atleast terlindung juga dari covid, kalau yg tak ambik vaccine tu sah sah la… https://t.co/DJytIAWuFV",pos,"@hsnwan @anthraxxx781 aik? memang la, atleast terlindung juga dari covid, kalau yg tak ambik vaccine tu sah sah la… https://t.co/djytiawufv","  aik? memang la, atleast terlindung juga dari covid, kalau yg tak ambik vaccine tu sah sah la… https://t.co/djytiawufv",aik memang la atleast terlindung juga dari covid kalau yg tak ambik vaccine tu sah sah la,"['aik', 'memang', 'la', 'atleast', 'terlindung', 'juga', 'dari', 'covid', 'kalau', 'yg', 'tak', 'ambik', 'vaccine', 'tu', 'sah', 'sah', 'la']","['aik', 'memang', 'lah', 'atleast', 'terlindung', 'juga', 'dari', 'covid', 'kalau', 'yang', 'tak', 'ambil', 'vaccine', 'itu', 'sah', 'sah', 'lah']","['aik', 'atleast', 'terlindung', 'covid', 'ambil', 'vaccine', 'sah', 'sah']","['aik', 'atleast', 'lindung', 'covid', 'ambil', 'vaccine', 'sah', 'sah']"
4,RT @purwantoraharjo: @kumur69 @ChusnulCh__ Kita lihat punya malu gak @na_dirs melihat negara2 yg dibanggakan mengalami lonjakan tinggi covi…,neg,rt @purwantoraharjo: @kumur69 @chusnulch__ kita lihat punya malu gak @na_dirs melihat negara2 yg dibanggakan mengalami lonjakan tinggi covi…,rt :   kita lihat punya malu gak  melihat negara2 yg dibanggakan mengalami lonjakan tinggi covi…,  kita lihat punya malu gak melihat negara yg dibanggakan mengalami lonjakan tinggi covi,"['kita', 'lihat', 'punya', 'malu', 'gak', 'melihat', 'negara', 'yg', 'dibanggakan', 'mengalami', 'lonjakan', 'tinggi', 'covi']","['kita', 'lihat', 'punya', 'malu', 'tidak', 'melihat', 'negara', 'yang', 'dibanggakan', 'mengalami', 'lonjakan', 'tinggi', 'covi']","['lihat', 'malu', 'negara', 'dibanggakan', 'mengalami', 'lonjakan', 'covi']","['lihat', 'malu', 'negara', 'bangga', 'alami', 'lonjak', 'covi']"
5,"RT @nhyartsMY: Rindu nak jalan-jalan sebelum ada Covid ni... 🥺

Kat mana tempat pertama korang akan pergi bila dah boleh rentas negeri? Let…",neg,"rt @nhyartsmy: rindu nak jalan-jalan sebelum ada covid ni... 🥺

kat mana tempat pertama korang akan pergi bila dah boleh rentas negeri? let…","rt : rindu nak jalan-jalan sebelum ada covid ni... 🥺

kat mana tempat pertama korang akan pergi bila dah boleh rentas negeri? let…",  rindu nak jalanjalan sebelum ada covid ni  kat mana tempat peama korang akan pergi bila dah boleh rentas negeri let,"['rindu', 'nak', 'jalanjalan', 'sebelum', 'ada', 'covid', 'ni', 'kat', 'mana', 'tempat', 'peama', 'korang', 'akan', 'pergi', 'bila', 'dah', 'boleh', 'rentas', 'negeri', 'let']","['rindu', 'nak', 'jalan jalan', 'sebelum', 'ada', 'covid', 'nih', 'kat', 'mana', 'tempat', 'peama', 'korang', 'akan', 'pergi', 'bila', 'sudah', 'boleh', 'rentas', 'negeri', 'let']","['rindu', 'nak', 'jalan jalan', 'covid', 'kat', 'peama', 'korang', 'pergi', 'rentas', 'negeri', 'let']","['rindu', 'nak', 'jalan jalan', 'covid', 'kat', 'peama', 'korang', 'pergi', 'rentas', 'negeri', 'let']"
6,"@ProfesorZubairi Ini ""karen covid 19 atau dengan covid 19"" Prof??",neg,"@profesorzubairi ini ""karen covid 19 atau dengan covid 19"" prof??"," ini ""karen covid 19 atau dengan covid 19"" prof??",ini karen covid  atau dengan covid  prof,"['ini', 'karen', 'covid', 'atau', 'dengan', 'covid', 'prof']","['ini', 'karen', 'covid', 'atau', 'dengan', 'covid', 'prof']","['karen', 'covid', 'covid', 'prof']","['karen', 'covid', 'covid', 'prof']"
7,Indonesia resmi keluar dari kategori ‘red list’ atau daftar zona merah Covid-19 versi Inggris terhitung mulai Senin… https://t.co/JxsfjWWRpp,pos,indonesia resmi keluar dari kategori ‘red list’ atau daftar zona merah covid-19 versi inggris terhitung mulai senin… https://t.co/jxsfjwwrpp,indonesia resmi keluar dari kategori ‘red list’ atau daftar zona merah covid-19 versi inggris terhitung mulai senin… https://t.co/jxsfjwwrpp,indonesia resmi keluar dari kategori red list atau daftar zona merah covid versi inggris terhitung mulai senin,"['indonesia', 'resmi', 'keluar', 'dari', 'kategori', 'red', 'list', 'atau', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris', 'terhitung', 'mulai', 'senin']","['indonesia', 'resmi', 'keluar', 'dari', 'kategori', 'red', 'list', 'atau', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris', 'terhitung', 'mulai', 'senin']","['indonesia', 'resmi', 'kategori', 'red', 'list', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris', 'terhitung', 'senin']","['indonesia', 'resmi', 'kategori', 'red', 'list', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris', 'hitung', 'senin']"
8,"RT @thatasyofian: selain melakukan vaksinasi Covid-19 di Desa Sukamantri, pihak Calvin juga memberikan pelayanan untuk masyarakat sekitar d…",pos,"rt @thatasyofian: selain melakukan vaksinasi covid-19 di desa sukamantri, pihak calvin juga memberikan pelayanan untuk masyarakat sekitar d…","rt : selain melakukan vaksinasi covid-19 di desa sukamantri, pihak calvin juga memberikan pelayanan untuk masyarakat sekitar d…",  selain melakukan vaksinasi covid di desa sukamantri pihak calvin juga memberikan pelayanan untuk masyarakat sekitar ,"['selain', 'melakukan', 'vaksinasi', 'covid', 'di', 'desa', 'sukamantri', 'pihak', 'calvin', 'juga', 'memberikan', 'pelayanan', 'untuk', 'masyarakat', 'sekitar']","['selain', 'melakukan', 'vaksinasi', 'covid', 'di', 'desa', 'sukamantri', 'pihak', 'calvin', 'juga', 'memberikan', 'pelayanan', 'untuk', 'masyarakat', 'sekitar']","['vaksinasi', 'covid', 'desa', 'sukamantri', 'calvin', 'pelayanan', 'masyarakat']","['vaksinasi', 'covid', 'desa', 'sukamantri', 'calvin', 'layan', 'masyarakat']"
9,RT @XavierNaxa: Kit ujian kendiri boleh dibeli serendah RM16.50. Buatlah saringan Covid-19 sebelum pulang ke kampung walaupun kita merasaka…,neutral,rt @xaviernaxa: kit ujian kendiri boleh dibeli serendah rm16.50. buatlah saringan covid-19 sebelum pulang ke kampung walaupun kita merasaka…,rt : kit ujian kendiri boleh dibeli serendah rm16.50. buatlah saringan covid-19 sebelum pulang ke kampung walaupun kita merasaka…,  kit ujian kendiri boleh dibeli serendah rm buatlah saringan covid sebelum pulang ke kampung walaupun kita merasaka,"['kit', 'ujian', 'kendiri', 'boleh', 'dibeli', 'serendah', 'rm', 'buatlah', 'saringan', 'covid', 'sebelum', 'pulang', 'ke', 'kampung', 'walaupun', 'kita', 'merasaka']","['kit', 'ujian', 'kendiri', 'boleh', 'dibeli', 'serendah', 'rm', 'buatlah', 'saringan', 'covid', 'sebelum', 'pulang', 'ke', 'kampung', 'walaupun', 'kita', 'merasaka']","['kit', 'ujian', 'kendiri', 'dibeli', 'serendah', 'rm', 'buatlah', 'saringan', 'covid', 'pulang', 'kampung', 'merasaka']","['kit', 'uji', 'kendiri', 'beli', 'serendah', 'rm', 'buat', 'saring', 'covid', 'pulang', 'kampung', 'merasaka']"
