nama_twitter,tanggal_tweet,isi_tweet,label
nenughul,"10/10/2021, 12:08:28",RT @Marchfoward: Pakistan berduka hari ini apabila Abdul Qadeer Khan Bapa Nuklear Pakistan meninggal dunia pada usia 85 tahun akibat Covid…,neg
marc0phoenix,"10/10/2021, 12:08:24","RT @redzuanNewsMPB: Kerajaan tidak mewajibkan orang ramai yang ingin rentas negeri bermula esok untuk buat ujian swab Covid-19, namun adala…",neg
akufelfel,"10/10/2021, 12:08:21","Pengumuman tersebut disampaikan oleh Menteri Perhubungan Inggris Grant Shapps pada Kamis, 7 Oktober 2021, pukul 17.… https://t.co/VildJgnrZ4",neutral
dannanwr_,"10/10/2021, 12:08:17","@hsnwan @anthraxxx781 Aik? Memang la, atleast terlindung juga dari covid, kalau yg tak ambik vaccine tu sah sah la… https://t.co/DJytIAWuFV",pos
Hadiwidjaja10,"10/10/2021, 12:08:15",RT @purwantoraharjo: @kumur69 @ChusnulCh__ Kita lihat punya malu gak @na_dirs melihat negara2 yg dibanggakan mengalami lonjakan tinggi covi…,neg
Tojimato,"10/10/2021, 12:08:13","RT @nhyartsMY: Rindu nak jalan-jalan sebelum ada Covid ni... 🥺

Kat mana tempat pertama korang akan pergi bila dah boleh rentas negeri? Let…",neg
RasputinKW,"10/10/2021, 12:08:12","@ProfesorZubairi Ini ""karen covid 19 atau dengan covid 19"" Prof??",neg
akufelfel,"10/10/2021, 12:08:10",Indonesia resmi keluar dari kategori ‘red list’ atau daftar zona merah Covid-19 versi Inggris terhitung mulai Senin… https://t.co/JxsfjWWRpp,pos
shadows2004_,"10/10/2021, 12:08:10","RT @thatasyofian: selain melakukan vaksinasi Covid-19 di Desa Sukamantri, pihak Calvin juga memberikan pelayanan untuk masyarakat sekitar d…",pos
anslysa_,"10/10/2021, 12:08:10",RT @XavierNaxa: Kit ujian kendiri boleh dibeli serendah RM16.50. Buatlah saringan Covid-19 sebelum pulang ke kampung walaupun kita merasaka…,neutral
SwaranewsC,"10/10/2021, 12:08:10","https://t.co/nk3g9NTdey - Pemulihan ekonomi masyarakat menjadi salah satu prioritas utama Wali Kota Surabaya, Eri C… https://t.co/zUIyh6zB1L",pos
YRadianto,"10/10/2021, 12:08:08","RT @Pencerah__: I. Budiman Sudjatmiko menyampaikan bahwa, pandemi Covid-19 memaksa manusia untuk berpikir ilmiah serta harus berdasarkan da…",neutral
Tojimato,"10/10/2021, 12:08:07","RT @reezal_merican: Setelah lebih setahun kita bergelut dlm pandemik COVID-19, #HSN2021 membawa simbol besar kali ini iaitu kejayaan Malays…",pos
Nafiqah07,"10/10/2021, 12:08:05","RT @FarisNazrin18: 2 tahun lalu sebelum COVID-19 melanda, aku pernah termenung lama di atas jambatan ini waktu lunch break. Jauh aku terfik…",neg
pithivierrz,"10/10/2021, 12:08:05","RT @taerajin_: menurut pemberitauan dri temn ku, di USA kondisi covid udh ga begitu buruk lgi dri seblmnya, tapi mereka msh mengikuti proto…",neutral
msianinsight,"10/10/2021, 12:08:04",24 hari kes pulih melebihi jangkitan baharu Covid-19 https://t.co/oKOzOCdZOU,neutral
KabarSiang,"10/10/2021, 12:08:04","Kasus Covid-19 Hari Ini, DKI Jakarta Terbanyak  https://t.co/3c7S70YcDs",neg
Beritasatu,"10/10/2021, 12:08:01","Molnupiravir Jadi Obat Covid-19, Kemenkes: Masih Tunggu Uji Klinis BPOM
Selengkapnya: 👇 #ObatCovid19
https://t.co/GoQVjPN1I7",neg
akufelfel,"10/10/2021, 12:07:59",Indonesia Resmi Keluar dari Daftar Zona Merah Covid-19 Versi Inggris #ZonaHijauCovid https://t.co/M0D7W00SCl,pos
feekau,"10/10/2021, 12:07:53",gue kira positif covid awalnya🙃 https://t.co/dc23y6EHXE,neg
Wn_Naz,"10/10/2021, 12:07:51","Cegah Covid-19, Polsek Basarang Patroli Dialogis Ajak Warga Bersama Patuhi Protokol Kesehatan https://t.co/ZTDZwyswTy",neg
